,^IRX
353,0.08500000089406967
354,0.0949999988079071
355,0.09300000220537186
356,0.0949999988079071
357,0.0949999988079071
358,0.0949999988079071
359,0.10000000149011612
360,0.10000000149011612
361,0.10000000149011612
362,0.10300000011920929
363,0.1080000028014183
364,0.10499999672174454
365,0.10300000011920929
366,0.10300000011920929
367,0.10000000149011612
368,0.10000000149011612
369,0.10000000149011612
370,0.08500000089406967
371,0.08299999684095383
372,0.07999999821186066
373,0.08799999952316284
374,0.08799999952316284
375,0.09300000220537186
376,0.09000000357627869
377,0.08799999952316284
378,0.08500000089406967
379,0.08500000089406967
380,0.08299999684095383
381,0.08500000089406967
382,0.08500000089406967
383,0.08799999952316284
384,0.08799999952316284
385,0.08799999952316284
386,0.09300000220537186
387,0.09000000357627869
388,0.09300000220537186
389,0.10000000149011612
390,0.0949999988079071
391,0.09000000357627869
392,0.09000000357627869
393,0.0949999988079071
394,0.09000000357627869
395,0.08500000089406967
396,0.08299999684095383
397,0.07999999821186066
398,0.09000000357627869
399,0.09000000357627869
400,0.08299999684095383
401,0.08299999684095383
402,0.08299999684095383
403,0.09000000357627869
404,0.08299999684095383
405,0.08500000089406967
406,0.08299999684095383
407,0.08799999952316284
408,0.09000000357627869
409,0.09000000357627869
410,0.08500000089406967
411,0.08299999684095383
412,0.07500000298023224
413,0.07999999821186066
414,0.07500000298023224
415,0.05999999865889549
416,0.057999998331069946
417,0.07000000029802322
418,0.07999999821186066
419,0.07999999821186066
420,0.0729999989271164
421,0.07500000298023224
422,0.07999999821186066
423,0.07500000298023224
424,0.07500000298023224
425,0.07500000298023224
426,0.07000000029802322
427,0.06800000369548798
428,0.07000000029802322
429,0.07000000029802322
430,0.06499999761581421
431,0.05999999865889549
432,0.07000000029802322
433,0.07500000298023224
434,0.07999999821186066
435,0.07999999821186066
436,0.07800000160932541
437,0.07800000160932541
438,0.07500000298023224
439,0.07500000298023224
440,0.07999999821186066
441,0.09000000357627869
442,0.07000000029802322
443,0.06499999761581421
444,0.06800000369548798
445,0.07800000160932541
446,0.07800000160932541
447,0.07999999821186066
448,0.07999999821186066
449,0.07999999821186066
450,0.07999999821186066
451,0.07999999821186066
452,0.07500000298023224
453,0.07500000298023224
454,0.0729999989271164
455,0.07500000298023224
456,0.0729999989271164
457,0.07000000029802322
458,0.07000000029802322
459,0.06800000369548798
460,0.05999999865889549
461,0.054999999701976776
462,0.04800000041723251
463,0.04800000041723251
464,0.05000000074505806
465,0.03999999910593033
466,0.029999999329447746
467,0.023000000044703484
468,0.019999999552965164
469,0.032999999821186066
470,0.03500000014901161
471,0.03500000014901161
472,0.03500000014901161
473,0.03500000014901161
474,0.03500000014901161
475,0.023000000044703484
476,0.023000000044703484
477,0.02500000037252903
478,0.023000000044703484
479,0.02800000086426735
480,0.032999999821186066
481,0.03500000014901161
482,0.02800000086426735
483,0.03500000014901161
484,0.03500000014901161
485,0.02800000086426735
486,0.02800000086426735
487,0.03500000014901161
488,0.03500000014901161
489,0.029999999329447746
490,0.02800000086426735
491,0.02500000037252903
492,0.014999999664723873
493,0.00800000037997961
494,0.00800000037997961
495,0.003000000026077032
496,0.004999999888241291
497,0.004999999888241291
498,0.009999999776482582
499,0.014999999664723873
500,0.014999999664723873
501,0.014999999664723873
502,0.00800000037997961
503,0.013000000268220901
504,0.013000000268220901
505,0.00800000037997961
506,0.014999999664723873
507,0.014999999664723873
508,0.009999999776482582
509,0.004999999888241291
510,0.003000000026077032
511,0.009999999776482582
512,0.014999999664723873
513,0.014999999664723873
514,0.009999999776482582
515,0.00800000037997961
516,0.014999999664723873
517,0.014999999664723873
518,0.013000000268220901
519,0.014999999664723873
520,0.014999999664723873
521,0.00800000037997961
522,0.009999999776482582
523,0.00800000037997961
524,0.00800000037997961
525,0.003000000026077032
526,0.004999999888241291
527,0.009999999776482582
528,0.00800000037997961
529,0.00800000037997961
530,0.00800000037997961
531,0.004999999888241291
532,0.009999999776482582
533,0.009999999776482582
534,0.00800000037997961
535,0.004999999888241291
536,0.004999999888241291
537,0.009999999776482582
538,0.004999999888241291
539,0.003000000026077032
540,0.003000000026077032
541,0.003000000026077032
542,0.009999999776482582
543,0.004999999888241291
544,0.004999999888241291
545,0.00800000037997961
546,0.009999999776482582
547,0.014999999664723873
548,0.014999999664723873
549,0.014999999664723873
550,0.017999999225139618
551,0.019999999552965164
552,0.019999999552965164
553,0.019999999552965164
554,0.017999999225139618
555,0.014999999664723873
556,0.019999999552965164
557,0.02800000086426735
558,0.02800000086426735
559,0.02800000086426735
560,0.029999999329447746
561,0.03799999877810478
562,0.03999999910593033
563,0.0430000014603138
564,0.0430000014603138
565,0.03999999910593033
566,0.03999999910593033
567,0.03999999910593033
568,0.03999999910593033
569,0.03799999877810478
570,0.03999999910593033
571,0.0430000014603138
572,0.0430000014603138
573,0.0430000014603138
574,0.0430000014603138
575,0.04500000178813934
576,0.04500000178813934
577,0.03799999877810478
578,0.03799999877810478
579,0.03999999910593033
580,0.04500000178813934
581,0.04500000178813934
582,0.0430000014603138
583,0.04500000178813934
584,0.03999999910593033
585,0.04500000178813934
586,0.04500000178813934
587,0.03999999910593033
588,0.03999999910593033
589,0.03799999877810478
590,0.04500000178813934
591,0.04500000178813934
592,0.0430000014603138
593,0.0430000014603138
594,0.04500000178813934
595,0.05000000074505806
596,0.04500000178813934
597,0.0430000014603138
598,0.04500000178813934
599,0.057999998331069946
600,0.06300000101327896
601,0.054999999701976776
602,0.0430000014603138
603,0.0430000014603138
604,0.03999999910593033
605,0.04800000041723251
606,0.04500000178813934
607,0.0430000014603138
608,0.0430000014603138
609,0.03799999877810478
610,0.03999999910593033
611,0.03999999910593033
612,0.03999999910593033
613,0.03999999910593033
614,0.03500000014901161
615,0.03999999910593033
616,0.03799999877810478
617,0.03799999877810478
618,0.03799999877810478
619,0.03500000014901161
620,0.03500000014901161
621,0.029999999329447746
622,0.02800000086426735
623,0.02500000037252903
624,0.019999999552965164
625,0.02500000037252903
626,0.02500000037252903
627,0.02500000037252903
628,0.02500000037252903
629,0.029999999329447746
630,0.029999999329447746
631,0.02800000086426735
632,0.02800000086426735
633,0.02800000086426735
634,0.03500000014901161
635,0.03999999910593033
636,0.03999999910593033
637,0.03999999910593033
638,0.03999999910593033
639,0.03999999910593033
640,0.04500000178813934
641,0.03999999910593033
642,0.03799999877810478
643,0.0430000014603138
644,0.05000000074505806
645,0.05000000074505806
646,0.05000000074505806
647,0.05000000074505806
648,0.05000000074505806
649,0.05000000074505806
650,0.05000000074505806
651,0.04800000041723251
652,0.04800000041723251
653,0.03999999910593033
654,0.04500000178813934
655,0.04500000178813934
656,0.03500000014901161
657,0.03999999910593033
658,0.03500000014901161
659,0.03999999910593033
660,0.04500000178813934
661,0.03999999910593033
662,0.0430000014603138
663,0.03799999877810478
664,0.03999999910593033
665,0.04500000178813934
666,0.04500000178813934
667,0.04500000178813934
668,0.03999999910593033
669,0.04500000178813934
670,0.05000000074505806
671,0.0430000014603138
672,0.03799999877810478
673,0.04800000041723251
674,0.05000000074505806
675,0.0430000014603138
676,0.0430000014603138
677,0.0430000014603138
678,0.057999998331069946
679,0.05999999865889549
680,0.05299999937415123
681,0.05000000074505806
682,0.0430000014603138
683,0.04800000041723251
684,0.04500000178813934
685,0.03500000014901161
686,0.029999999329447746
687,0.03799999877810478
688,0.06499999761581421
689,0.06499999761581421
690,0.057999998331069946
691,0.0430000014603138
692,0.05000000074505806
693,0.04500000178813934
694,0.02500000037252903
695,0.032999999821186066
696,0.05299999937415123
697,0.07999999821186066
698,0.08500000089406967
699,0.09000000357627869
700,0.08799999952316284
701,0.09000000357627869
702,0.11800000071525574
703,0.11500000208616257
704,0.10999999940395355
705,0.11800000071525574
706,0.12999999523162842
707,0.16500000655651093
708,0.1679999977350235
709,0.15800000727176666
710,0.1550000011920929
711,0.1850000023841858
712,0.17800000309944153
713,0.1850000023841858
714,0.17299999296665192
715,0.17299999296665192
716,0.2029999941587448
717,0.1850000023841858
718,0.19300000369548798
719,0.22300000488758087
720,0.2029999941587448
721,0.2750000059604645
722,0.27000001072883606
723,0.3700000047683716
724,0.33799999952316284
725,0.36000001430511475
726,0.4000000059604645
727,0.37299999594688416
728,0.3449999988079071
729,0.3179999887943268
730,0.33000001311302185
731,0.3400000035762787
732,0.28299999237060547
733,0.2980000078678131
734,0.2879999876022339
735,0.31299999356269836
736,0.32499998807907104
737,0.33500000834465027
738,0.3050000071525574
739,0.3050000071525574
740,0.36000001430511475
741,0.3700000047683716
742,0.36000001430511475
743,0.36500000953674316
744,0.3779999911785126
745,0.4480000138282776
746,0.43299999833106995
747,0.36000001430511475
748,0.382999986410141
749,0.45500001311302185
750,0.5199999809265137
751,0.47999998927116394
752,0.4830000102519989
753,0.5199999809265137
754,0.5080000162124634
755,0.5550000071525574
756,0.5249999761581421
757,0.49300000071525574
758,0.5
