Date,QCOM,TSLA,NVDA,TAIT,INTC,AUDC,OLED,CSCO,MSFT,AAPL,ALOT,GRMN,ESLT,TXN,EQIX,CDW,AVGO,INTU,SPNS,BRKR,IDCC,MNDO,EBIX,WSTG,CDK,WDC,ATVI,MKSI,TER,ADI,CCMP,MGIC,LOGI,APWC,SWKS
9/21/2020,108.9676666,149.796661,125.0050354,2.165398121,47.7514267,30.19169617,165.9843903,37.36104965,199.9185181,109.0781403,7.690000057,91.51115417,121.0423737,132.0029755,728.402832,107.1332016,336.4832153,304.5888062,29.45333862,38.21042252,55.59006882,1.990942597,19.19714165,23.46036339,41.92007828,36.09000015,81.01772308,107.4251633,76.54930878,111.0261078,132.4792175,12.26223755,72.59092712,1.029999971,131.6049042
9/22/2020,110.817543,141.410004,126.2084274,2.174772263,47.97232437,30.36559868,171.209259,37.62900925,204.7353363,110.7923965,7.650000095,92.36549377,122.2530823,133.6123199,732.7504883,108.4722519,345.856781,314.0718994,29.878479,38.63886261,56.00687027,1.965634108,19.26605415,22.80601311,42.55731201,36.47000122,82.25174713,107.2863235,76.19104767,111.776474,136.0260773,12.52272511,72.63056183,1.029999971,136.8887177
9/23/2020,107.6532745,126.786667,121.0753021,2.137276173,46.8870697,29.95982361,168.2690125,36.63373184,197.9937439,106.1450882,7.570000172,90.73449707,118.1878281,130.2491302,713.8650513,107.5270386,336.2919006,301.8467102,28.2767868,38.58904648,53.79684067,1.974070311,19.12822723,22.17090988,41.5769577,38.91999817,79.74388885,106.7210312,75.04659271,109.6325455,132.3420105,12.11752224,72.31348419,1.059999943,131.2814178
9/24/2020,109.2305374,129.263336,123.3148041,2.156024218,47.21360397,29.40912628,168.596817,36.22222519,200.5600739,107.2350616,7.570000172,89.97722626,117.9220657,131.723526,716.8546143,108.7282333,337.181427,305.4697571,28.35588264,38.20046234,54.72737885,1.974070311,19.00024986,22.2382679,41.66518784,37.52999878,79.30601501,107.167305,75.93231201,109.8079605,134.3114166,11.89562511,72.55129242,1.460000038,132.5361938
9/25/2020,111.479599,135.779999,128.5652771,2.127902269,47.96272278,30.46221352,170.9708557,36.79642487,205.1301727,111.25811,7.789999962,90.82186127,118.827652,133.2943115,734.0401001,111.0026474,341.275177,315.279541,28.97876167,39.01747894,54.87277985,1.974070311,19.62046432,22.48846245,42.75338364,38.47000122,80.58979797,106.6516113,77.34545898,110.5875854,134.8992767,11.97280598,72.47201538,1.710000038,135.2810364
9/28/2020,115.3448868,140.399994,130.1756134,2.174772263,49.39372635,30.54916763,173.4342957,37.4471817,206.7292023,113.9137268,7.460000038,92.59849548,119.2902832,136.7827759,747.2198486,114.7047043,351.3182983,322.2582397,29.45333862,39.34627914,55.36712265,1.974070311,20.16192055,22.2767601,42.92005157,38.61999893,81.55511475,109.57724,78.81832123,114.0763168,139.5631561,12.34906673,74.29521942,1.50999999,141.1334229
9/29/2020,114.2836151,139.690002,132.0805664,2.202893972,49.16322708,30.91629601,177.68573,37.38018417,204.5774078,113.0516357,7.53000021,92.23928833,116.4947891,136.3587646,745.9009399,116.2898865,348.4106445,320.3675537,29.77960968,39.75478745,55.54160309,1.957197905,20.19145584,22.49808311,42.73377991,39.31999969,80.3907547,109.8251648,79.47515106,113.6767731,139.6121521,12.43589687,76.43548584,1.269999981,141.5059204
9/30/2020,114.5757141,143.003326,135.1239624,2.249764442,49.72987366,30.39458275,179.5333099,37.69599915,207.6076813,114.7559814,8.020000458,92.09365845,118.4142151,137.6018829,742.647522,117.6880035,348.4680176,322.9115906,30.23441124,39.60533524,55.30896759,1.957197905,20.28005791,22.18053055,42.73377991,36.54999924,80.55993652,108.3276443,79.07706451,113.7644806,139.9256744,12.66744137,76.60392761,1.230000019,142.633255
10/1/2020,116.3671722,149.386673,135.9628601,2.221642256,50.17165375,30.74239349,182.3344727,37.47385406,209.7101135,115.7270737,8,91.91890717,119.3690186,139.6448975,750.6783447,121.5968246,352.5617676,328.9796143,30.8177433,39.00751877,55.62883759,1.957197905,21.59924507,22.73865128,43.16513443,36.33000183,82.28160095,110.5590668,80.90821075,115.9571228,143.0414581,13.14017868,77.80287933,1.25,149.1032257
10/2/2020,112.4240036,138.363327,130.4477386,2.184146643,48.99035263,30.12406731,178.2320404,36.9619751,203.5212708,111.9913864,8.079999924,92.16162872,119.0638733,135.9636536,760.1064453,121.5869827,341.3038635,318.6352539,30.25418472,38.63886261,55.02786636,1.965634108,21.01840973,22.59431076,43.18474579,35.95999908,77.9227066,107.5640182,78.24111938,111.1040649,139.5533752,12.97616768,77.06964111,1.25999999,143.9370575
